ID,YEAR,TITLE,LANGUAGE,AUTHORS
45973,2014-06-14,"Trackers of the Fog Pack; Or, Jack Ralston Flying Blind",en,"Newcomb, Ambrose"
45974,2014-06-14,Ken Ward in the Jungle,en,"Grey, Zane, 1872-1939"
45975,2014-06-15,The Little Lame Prince and His Travelling Cloak,en,"Craik, Dinah Maria Mulock, 1826-1887; Dunlap, Hope [Illustrator]"
45976,2014-06-15,My Country,en,"Marie, Queen, consort of Ferdinand I, King of Romania, 1875-1938"
45977,2014-06-15,"Eine Mutter
Roman im Anschluß an »die Colonie«",de,"Gerstäcker, Friedrich, 1816-1872"
45978,2014-06-15,The Grapes of New York,en,"Hedrick, U. P., 1870-1951; Booth, N. O. (Nathaniel Ogden), 1869-1919 [Contributor]; Dorsey, Maxwell Jay, 1880-1966 [Contributor]; Taylor, O. M. (Orrin Morehouse), 1865- [Contributor]; Wellington, R. (Richard), 1884- [Contributor]"
45979,2014-06-15,Les casseurs de bois,fr,"Corday, Michel, 1870-1937"
45980,2014-06-15,Rowlandson the Caricaturist; a Selection from His Works. Vol. 1,en,"Grego, Joseph, 1843-1908; Rowlandson, Thomas, 1756-1827 [Illustrator]"
45981,2014-06-15,Rowlandson the Caricaturist; a Selection from His Works. Vol. 2,en,"Grego, Joseph, 1843-1908; Rowlandson, Thomas, 1756-1827 [Illustrator]"
45982,2014-06-15,"The Boy Allies in the Baltic; Or, Through Fields of Ice to Aid the Czar",en,"Hayes, Clair W. (Clair Wallace), 1887-"
45983,2014-06-15,To Nuremberg and Back: A Girl's Holiday,en,"Neally, Amy"
45984,2014-06-15,Suomalaisen kirjallisuuden historia I: Kalevala,fi,"Krohn, Julius, 1835-1888"
45985,2014-06-15,"Kantelettaren tutkimuksia 1
Ritvalan helkavirret. Historiallise runot",fi,"Krohn, Julius, 1835-1888; Krohn, Kaarle, 1863-1933 [Editor]"
45986,2014-06-15,"Kantelettaren tutkimuksia 2
Luojan virsi. Viron orjan virsi. Kahdenlaisella runomitalla",fi,"Krohn, Julius, 1835-1888; Krohn, Kaarle, 1863-1933 [Editor]"
45987,2014-06-15,Julius Krohn runoilijana,fi,"Trast, V. K., 1878-1953"
45988,2014-06-15,"Novum Organum; Or, True Suggestions for the Interpretation of Nature",en,"Bacon, Francis, 1561-1626; Devey, Joseph [Editor]"
45989,2014-06-15,Grace Harlowe's Overland Riders in the High Sierras,en,"Chase, Josephine, -1931"
45990,2014-06-15,"Bobby Blake on the School Nine; Or, The Champions of the Monatook Lake League",en,"Warner, Frank A.; Owen, Robert Emmett, 1878-1957 [Illustrator]"
45991,2014-06-15,"The Boy Aviators on Secret Service; Or, Working with Wireless",en,"Goldfrap, John Henry, 1879-1917"
45992,2014-06-15,Darwinism and Race Progress,en,"Haycraft, John Berry, 1857-1922"
45993,2014-06-16,"Bohemia under Hapsburg Misrule
A Study of the Ideals and Aspirations of the Bohemian and Slovak Peoples, as They Relate to and Are Affected by the Great European War",en,"Capek, Thomas, 1861-1950 [Editor]"
45994,2014-06-16,Our Little Cossack Cousin in Siberia,en,"Postnikov, Fedor Alexis, 1872-; Rogers, Walter S., 1871-1937 [Illustrator]"
45995,2014-06-16,Our Little Porto Rican Cousin,en,"Wade, Mary Hazelton Blanchard, 1860-1936; Bridgman, L. J. (Lewis Jesse), 1857-1931 [Illustrator]"
45996,2014-06-16,Der Aether gegen den Schmerz,de,"Dieffenbach, Johann Friedrich, 1792-1847"
45997,2014-06-16,"Louis Spohr's Autobiography
Translated from the German",en,"Spohr, Louis, 1784-1859"
45998,2014-06-16,"Peru in the Guano Age
Being a Short Account of a Recent Visit to the Guano Deposits, with Some Reflections on the Money They Have Produced and the Uses to Which It Has Been Applied",en,"Duffield, A. J. (Alexander James), 1821-1890"
45999,2014-06-16,Taivaallisia tarinoita,fi,"Lampén, Ernst, 1865-1938"
46000,2014-06-16,Cuentos ingenuos,es,"Trigo, Felipe, 1864-1916"
46001,2014-06-16,A Parody on Iolanthe,en,"Dalziel, D. (Davison); McVickar, H. W. (Harry Whitney), 1860- [Illustrator]"
46002,2014-06-16,Motor tours in Yorkshire,en,"Stawell, Rodolph, Mrs., 1865-1949; Stawell, R. De S. [Photographer]"
46003,2014-06-16,"L'Illustration, No. 2521, 20 Juin 1891",fr,Various
46004,2014-06-16,Neighbors Unknown,en,"Roberts, Charles G. D., Sir, 1860-1943"
46005,2014-06-16,"Red Fox
The Story of His Adventurous Career in the Ringwaak Wilds and of His Final Triumph over the Enemies of His Kind",en,"Roberts, Charles G. D., Sir, 1860-1943; Bull, Charles Livingston, 1874-1932 [Illustrator]"
46006,2014-06-16,The Black Tortoise: Being the Strange Story of Old Frick's Diamond,en,"Sparre, Christian, 1859-1940; Brækstad, Gertrude Hughes [Translator]"
46007,2014-06-16,"Our Young Aeroplane Scouts in Russia; or, Lost on the Frozen Steppes",en,"Porter, Horace, 1863-"
46008,2014-06-17,The Room with the Tassels,en,"Wells, Carolyn, 1862-1942"
46009,2014-06-17,"The Privy Purse Expenses of King Henry VIII from November MDXXIX, to December MDXXXII",en,"Nicolas, Nicholas Harris, Sir, 1799-1848"
46010,2014-06-17,Elsie's Journey on Inland Waters,en,"Finley, Martha, 1828-1909"
46011,2014-06-17,"The Moving Picture Boys and the Flood; Or, Perilous Days on the Mississippi",en,"Appleton, Victor"
46012,2014-06-17,Matkahavaintoja puoli vuosisataa sitten,fi,"Topelius, Zacharias, 1818-1898"
46013,2014-06-17,Famous American Belles of the Nineteenth Century,en,"Peacock, Virginia Tatnall, 1873-1918"
46014,2014-06-17,Die Ägyptische Pflanzensäule,de,"Borchardt, Ludwig, 1863-1938"
46015,2014-06-17,The Gypsy's Parson: his experiences and adventures,en,"Hall, George, rector of Ruckland, Lincolnshire, 1863-1918"
46016,2014-06-17,"Studies in the Scriptures, Volume 7: The Finished Mystery",en,"Russell, C. T. (Charles Taze), 1852-1916"
46017,2014-06-18,Indian Birds: Being a Key to the Common Birds of the Plains of India,en,"Dewar, Douglas, 1875-1957"
46018,2014-06-18,Loyola and the Educational System of the Jesuits,en,"Hughes, Thomas, 1849-1939; Butler, Nicholas Murray, 1862-1947 [Editor]"
46019,2014-06-18,Capitals of the Northlands: Tales of Ten Cities,en,"Hannah, Ian C., 1874-1944; Hannah, Edith B. [Illustrator]"
46020,2014-06-25,The Gayton Scholarship: A School Story,en,"Hayens, Herbert, 1861-1944"
46021,2014-06-18,Goethes Briefe an Leipziger Freunde,de,"Goethe, Johann Wolfgang von, 1749-1832; Jahn, Otto, 1813-1869 [Editor]"
46022,2014-06-18,"Le livre de tous les ménages
ou l'art de conserver pendant plusieurs années toutes les substances animales et végétales",fr,"Appert, Nicolas, 1749-1841"
46023,2014-06-18,The Garden of Swords,en,"Pemberton, Max, 1863-1950; Wood, Stanley L., 1866-1928 [Illustrator]"
46024,2014-06-18,Origin Myths among the Mountain Peoples of the Philippines,en,"Beyer, H. Otley (Henry Otley), 1883-1966"
46025,2014-06-18,"Charities and the Commons: The Pittsburgh Survey, Part II. The Place and Its Social Forces",en,Various
46026,2014-06-18,Virginia's Attitude Toward Slavery and Secession,en,"Munford, Beverley B. (Beverley Bland), 1856-1910"
46027,2014-06-18,"The Khaki Boys at Camp Sterling; Or, Training for the Big Fight in France",en,"Chase, Josephine, -1931"
46028,2014-06-19,"Leaves from My Journal: Third Book of the Faith-Promoting Series
Designed for the Instruction and Encouragement of Young Latter-Day Saints",en,"Woodruff, Wilford, 1807-1898"
46029,2014-06-19,"Charities and the Commons: The Pittsburgh Survey, Part I. The People",en,Various
46030,2014-06-19,Of Walks and Walking Tours: An Attempt to find a Philosophy and a Creed,en,"Haultain, Arnold, 1857-1941"
46031,2014-06-19,"Brani inediti dei Promessi Sposi, vol. 1
Opere di Alessando Manzoni vol. 2 parte 1",it,"Manzoni, Alessandro, 1785-1873; Sforza, Giovanni, 1846-1922 [Editor]"
46032,2014-06-19,Vitus Bering: the Discoverer of Bering Strait,en,"Lauridsen, Peter, 1846-1923; Schwatka, Frederick, 1849-1892 [Author of introduction, etc.]; Olsen, Julius E. [Translator]"
46033,2014-06-19,La Flandre pendant des trois derniers siècles,fr,"Kervyn de Lettenhove, Joseph Marie Bruno Constantin, Baron, 1817-1891"
46034,2014-06-19,Gibraltar,en,"Field, Henry M. (Henry Martyn), 1822-1907"
46035,2014-06-19,A Spring Walk in Provence,en,"Marshall, Archibald, 1866-1934"
46036,2014-06-19,"The Sidereal Messenger of Galileo Galilei
and a Part of the Preface to Kepler's Dioptrics Containing the Original Account of Galileo's Astronomical Discoveries",en,"Galilei, Galileo, 1564-1642; Kepler, Johannes, 1571-1630; Carlos, Edward Stafford [Translator]"
46037,2014-06-19,"A Revision of the Treaty
Being a Sequel to The Economic Consequence of the Peace",en,"Keynes, John Maynard, 1883-1946"
46038,2014-06-21,Shinto (the Way of the Gods),en,"Aston, W. G. (William George), 1841-1911"
46039,2014-06-20,"Dynamite Stories, and Some Interesting Facts About Explosives",en,"Maxim, Hudson, 1853-1927"
46040,2014-06-20,The Kindred of the Wild: A Book of Animal Life,en,"Roberts, Charles G. D., Sir, 1860-1943; Bull, Charles Livingston, 1874-1932 [Illustrator]"
46041,2014-06-20,"The Christian Hymn Book
A Compilation of Psalms, Hymns and Spiritual Songs, Original and Selected, by A. Campbell and Others",en,"Campbell, Alexander, 1788-1866 [Compiler]"
46042,2014-06-20,Our Little Arabian Cousin,en,"McManus, Blanche, 1869-1935"
46043,2014-06-20,"Vasco, Our Little Panama Cousin",en,"Pike, H. Lee M. (Henry Lee Mitchell), 1865-; Bridgman, L. J. (Lewis Jesse), 1857-1931 [Illustrator]"
46044,2014-06-20,A Little Change: A Farce in One Scene,en,"Grundy, Sydney, 1848-1914"
46045,2014-06-20,"The Boy Allies on the North Sea Patrol
Or, Striking the First Blow at the German Fleet",en,"Hayes, Clair W. (Clair Wallace), 1887-"
46046,2014-06-20,Sonia: Between Two Worlds,en,"McKenna, Stephen, 1888-1967"
46047,2014-06-20,Tales and Legends of the Tyrol,en,"Günther, Marie A., countess"
46048,2014-06-20,The Turned-About Girls,en,"Dix, Beulah Marie, 1876-1970; Greer, Blanche, 1884- [Illustrator]"
46049,2014-06-20,Twos and Threes,en,"Stern, G. B. (Gladys Bronwyn), 1890-1973"
46050,2014-06-20,"The Relations between the Laws of Babylonia and the Laws of the Hebrew Peoples
The Schweich Lectures",en,"Johns, C. H. W. (Claude Hermann Walter), 1857-1920"
46051,2014-06-20,South American Jungle Tales,en,"Quiroga, Horacio, 1878-1937; Ripley, Aiden Lassell, 1896-1969 [Illustrator]; Livingston, Arthur, 1883-1944 [Translator]"
46052,2014-06-20,A-B-C of Vegetable Gardening,en,"Rexford, Eben E. (Eben Eugene), 1848-1916"
46053,2014-06-20,"Der Kunstreiter, 1. Band",de,"Gerstäcker, Friedrich, 1816-1872"
46054,2014-06-20,"The Boy Allies with the Terror of the Seas; Or, The Last Shot of Submarine D-16",en,"Hayes, Clair W. (Clair Wallace), 1887-"
46055,2014-06-21,Among the Birds in Northern Shires,en,"Dixon, Charles, 1858-1926; Whymper, Charles, 1853-1941 [Illustrator]"
46056,2014-06-21,Our Little Quebec Cousin,en,"Saxe, Mary S. (Mary Sollace), 1868-1942; Meister, Charles E. [Illustrator]"
46057,2014-06-21,The Relentless City,en,"Benson, E. F. (Edward Frederic), 1867-1940"
46058,2014-06-21,"Two Tragedies of Seneca: Medea and The Daughters of Troy
Rendered into English Verse",en,"Seneca, Lucius Annaeus, 4? BCE-65; Harris, Ella Isabel, 1859-1928 [Translator]"
46059,2014-06-21,"The Adopting of Rosa Marie
(A Sequel to Dandelion Cottage)",en,"Rankin, Carroll Watson, 1870-; Selss, Miriam [Illustrator]; Shinn, Florence Scovel, 1871-1940 [Illustrator]"
46060,2014-06-21,"Of the Injustice of Counterfeiting Books
From: Essays and Treaties on Moral, Political and various Philosophical Subjects",en,"Kant, Immanuel, 1724-1804"
46061,2014-06-21,"Der Kunstreiter, 2. Band",de,"Gerstäcker, Friedrich, 1816-1872"
46062,2014-06-21,"Der Kunstreiter, 3. Band",de,"Gerstäcker, Friedrich, 1816-1872"
46063,2014-06-21,"The Classic Myths in English Literature and in Art (2nd ed.) (1911)
Based Originally on Bulfinch's ""Age of Fable"" (1855)",en,"Bulfinch, Thomas, 1796-1867; Gayley, Charles Mills, 1858-1932"
46064,2014-06-21,The Deep Lake Mystery,en,"Wells, Carolyn, 1862-1942"
46065,2014-06-21,"L'Illustration, No. 2522, 27 Juin 1891",fr,Various
46066,2014-06-21,"Manual of Taxidermy
A Complete Guide in Collecting and Preserving Birds and Mammals",en,"Maynard, C. J. (Charles Johnson), 1845-1929"
46067,2014-06-21,How To Ski and How Not To,en,"Caulfeild, Vivian, 1874-1958"
46068,2014-06-22,Abbotsford,en,"Crockett, W. S. (William Shillinglaw), 1866-1945; Smith, William, Jr. [Illustrator]"
46069,2014-06-22,Vanished Halls and Cathedrals of France,en,"Edwards, George Wharton, 1859-1950"
46070,2014-06-22,Arkielämää: Kertomus,fi,"Jotuni, Maria, 1880-1943"
46071,2014-06-22,Rakkautta: Novelleja,fi,"Jotuni, Maria, 1880-1943"
46072,2014-06-22,Suhteita: Harjoitelmia,fi,"Jotuni, Maria, 1880-1943"
46073,2014-06-22,"Inselwelt. Zweiter Band. Australische Skizzen.
Gesammelte Erzählungen.",de,"Gerstäcker, Friedrich, 1816-1872"
46074,2014-06-23,Lausanne,en,"Gribble, Francis Henry, 1862-1946; Lewis, J. Hardwicke (John Hardwicke), 1840-1927 [Illustrator]; Lewis, May Hardwicke [Illustrator]"
46075,2014-06-23,"Motor Matt; or, The King of the Wheel
Motor Stories Thrilling Adventure Motor Fiction No 1.",en,"Matthews, Stanley R."
46076,2014-06-23,Sebastian Bach,en,"Poole, Reginald Lane, 1857-1939"
46077,2014-06-23,The Judgment Books: A Story,en,"Benson, E. F. (Edward Frederic), 1867-1940; Hatherell, William, 1855-1928 [Illustrator]"
46078,2014-06-23,The Senses and the Mind,en,Anonymous
46079,2014-06-23,Evolution in Art: As Illustrated by the Life-histories of Designs,en,"Haddon, Alfred C. (Alfred Cort), 1855-1940"
46080,2014-06-23,Earliest Years at Vassar: Personal Recollections,en,"Wood, Frances Ann, 1840-"
46081,2014-06-23,Pekka Puavalj: Luonteenpiirteitä purkupäiviltä,fi,"Lassila, Maiju, 1868-1918"
46082,2014-06-23,La mirabile visione: Abbozzo d'una storia della Divina Comedia,it,"Pascoli, Giovanni, 1855-1912"
46083,2014-06-23,Tahiti: Roman aus der Südsee. Vierter Band,de,"Gerstäcker, Friedrich, 1816-1872"
46084,2014-06-24,The Secret Life: Being the Book of a Heretic,en,"Bisland, Elizabeth, 1861-1929"
46085,2014-06-24,"The Boy Allies with Pershing in France; Or, Over the Top at Chateau Thierry",en,"Hayes, Clair W. (Clair Wallace), 1887-"
46086,2014-06-23,Der lebende Leichnam: Drama in sechs Akten (zwölf Bildern),de,"Tolstoy, Leo, graf, 1828-1910; Röhl, Hermann, 1851-1923 [Translator]"
46087,2014-06-24,Drawings of Rossetti,en,"Wood, T. Martin, 1875-1919; Rossetti, Dante Gabriel, 1828-1882 [Illustrator]"
46088,2014-06-24,Stories of Exile,en,"Johnson, Rossiter, 1840-1931 [Editor]"
46089,2014-06-24,Mesék és regék,hu,"Jókai, Mór, 1825-1904"
46090,2014-06-24,"Lancashire Sketches
Third Edition",en,"Waugh, Edwin, 1817-1890"
46091,2014-06-24,"The Octoroon; or, Life in Louisiana. A Play in Five acts",en,"Boucicault, Dion, 1820-1890"
46092,2014-06-24,A Little Pilgrimage in Italy,en,"Potter, Olave M. (Olave Muriel); Makino, Yoshio, 1874-1956 [Illustrator]"
46093,2014-06-24,Secrets of the Sword,en,"Bazancourt, César Lecat, baron de, 1810-1865; Townsend, F. H. (Frederick Henry), 1868-1920 [Illustrator]; Clay, Charles Felix, 1861-1947 [Translator]"
46094,2014-06-25,"The Romance of Modern Mechanism
With Interesting Descriptions in Non-technical Language of Wonderful Machinery and Mechanical Devices and Marvellously Delicate Scientific Instruments",en,"Williams, Archibald, 1871-1934"
46095,2014-06-25,"Private Journal of Henry Francis Brooke
Late Brigadier-General Commanding 2nd Infantry Brigade, Kandahar Field Force, Southern Afghanistan, from April 22nd to August 16th, 1880",en,"Brooke, Henry Francis, 1836-1880; Brooke, Annie, Mrs. [Editor]"
46096,2014-06-25,Sonia Married,en,"McKenna, Stephen, 1888-1967"
46097,2014-06-25,"Trooper Bluegum at the Dardanelles
Descriptive Narratives of the More Desperate Engagements on the Gallipoli Peninsula",en,"Hogue, Oliver, 1880-1919"
46098,2014-06-25,In the Name of Liberty: A Story of the Terror,en,"Johnson, Owen, 1878-1952; Castaigne, J. André, 1861-1929 [Illustrator]"
46099,2014-06-26,"The Vitality of ""Mormonism"": An Address",en,"Talmage, James E. (James Edward), 1862-1933"
46100,2014-06-26,"Vita di Andrea Doria, Volume I",it,"Guerrazzi, Francesco Domenico, 1804-1873"
46101,2014-06-26,"Vita di Andrea Doria, Volume II",it,"Guerrazzi, Francesco Domenico, 1804-1873"
46102,2014-06-26,An American Girl in Munich: Impressions of a Music Student,en,"Daniels, Mabel W. (Mabel Wheeler), 1878-1971"
46103,2014-06-26,Germany's Vanishing Colonies,en,"Le Sueur, Gordon, 1874-"
46104,2014-06-26,The Girl in Industry,en,"Collier, Dorothy Josephine, 1894-1972; Hutchins, B. L., 1858-1935 [Author of introduction, etc.]"
46105,2014-06-26,The Story of the Atlantic Cable,en,"Bright, Charles, Sir, 1863-1937"
46106,2014-06-26,The Scottish Parliament Before the Union of the Crowns,en,"Rait, Robert S. (Robert Sangster), 1874-1936"
46107,2014-06-26,"The German Lieutenant, and Other Stories",en,"Strindberg, August, 1849-1912; Field, Claud, 1863-1941 [Translator]"
46108,2014-06-27,The Playwork Book,en,"Macbeth, Ann"
46109,2014-06-27,Gudrun: A Mediaeval Epic,en,"Nichols, Mary Pickering, 1829-1915 [Translator]"
46110,2014-06-27,"Pattie's Personal Narrative, 1824-1830; Willard's Inland Trade with New Mexico, 1825, and Downfall of the Fredonian Republic; and Malte-Brun's Account of Mexico",en,"Malte-Brun, Conrad, 1775-1826; Pattie, James O. (James Ohio), 1804?-1850?; Willard, Dr.; Flint, Timothy, 1780-1840 [Editor]; Thwaites, Reuben Gold, 1853-1913 [Editor]"
46111,2014-06-27,Autour de la lune,fr,"Verne, Jules, 1828-1905; Hildibrand, Henri Théophile, 1824-1897 [Engraver]; Bayard, Émile Antoine, 1837-1891 [Illustrator]; Neuville, Alphonse Marie de, 1835-1885 [Illustrator]"
46112,2014-06-27,"The Dark Ages, and Other Poems",en,L.
46113,2014-06-27,"Typesetting
A primer of information about working at the case, justifying, spacing, correcting, making-up, and other operations employed in setting type by hand",en,"Stewart, A. A. (Alexander A.)"
46114,2014-06-27,"Canada in Flanders, Volume I",en,"Beaverbrook, Max Aitken, Baron, 1879-1964"
46115,2014-06-27,"Canada in Flanders, Volume II",en,"Beaverbrook, Max Aitken, Baron, 1879-1964"
46116,2014-06-27,"Canada in Flanders, Volume III",en,"Roberts, Charles G. D., Sir, 1860-1943; Beaverbrook, Max Aitken, Baron, 1879-1964 [Author of introduction, etc.]"
46117,2014-06-27,The Dreadnought of the Air,en,"Westerman, Percy F. (Percy Francis), 1876-1959"
46118,2014-06-28,The Religion of Ancient Scandinavia,en,"Craigie, William A. (William Alexander), Sir, 1867-1957"
46119,2014-06-28,The Valkyries,en,"Benson, E. F. (Edward Frederic), 1867-1940; Wagner, Richard, 1813-1883; Noyes Lewis, T., 1862-1946 [Illustrator]"
46120,2014-06-28,Comic Arithmetic,en,"Leigh, Percival, 1813-1889; Crowquill, Alfred, 1804-1872 [Illustrator]"
46121,2014-06-28,"Henry Ford's Own Story
How a Farmer Boy Rose to the Power that goes with Many Millions, Yet Never Lost Touch with Humanity",en,"Lane, Rose Wilder, 1886-1968"
46122,2014-06-28,The Story of the Pullman Car,en,"Husband, Joseph, 1885-1938"
46123,2014-06-28,Belle Powers' Locket,en,"Mathews, Joanna H. (Joanna Hooe), 1849-1901"
46124,2014-06-28,The Copperhead,en,"Frederic, Harold, 1856-1898"
46125,2014-06-28,"Pablo de Segovia, the Spanish Sharper",en,"Quevedo, Francisco de, 1580-1645; Pennell, Joseph, 1857-1926 [Commentator]; Watts, Henry Edward, 1826-1904 [Editor]; Vierge, Daniel, 1851-1904 [Illustrator]"
46126,2014-06-28,Osservazioni sullo stato attuale dell'Italia e sul suo avvenire,it,"Belgioioso, Cristina, 1808-1871"
46127,2014-06-28,"The Motor Boys Over the Ocean; Or, A Marvelous Rescue in Mid-Air",en,"Young, Clarence"
46128,2014-07-03,"Perseverance Island; Or, The Robinson Crusoe of the Nineteenth Century",en,"Frazar, Douglas, 1836-1896; Merrill, Frank T., 1848-1923 [Illustrator]"
46129,2014-06-30,The Data of Ethics,en,"Spencer, Herbert, 1820-1903"
46130,2014-06-29,Locke,en,"Fowler, Thomas, 1832-1904"
46131,2014-06-29,"The Adventures of Captain John Patterson
With Notices of the Officers, &c. of the 50th, or Queen's Own Regiment from 1807 to 1821",en,"Patterson, John"
46132,2014-06-29,"The Wars of the Roses; or, Stories of the Struggle of York and Lancaster",en,"Edgar, John G. (John George), 1834-1864"
46133,2014-06-29,Lammermoorin morsian,fi,"Scott, Walter, 1771-1832; Krohn, Julius, 1835-1888 [Translator]"
46134,2014-06-29,"Garden Cities of To-Morrow
Being the Second Edition of ""To-Morrow: a Peaceful Path to Real Reform""",en,"Howard, Ebenezer, Sir, 1850-1928"
46135,2014-06-29,Romantische Lieder,de,"Hesse, Hermann, 1877-1962"
46136,2014-06-29,History of the Fan,en,"Rhead, G. Woolliscroft (George Woolliscroft), 1854-1920"
46137,2014-06-29,"L'Illustration, No. 0060, 20 Avril 1844",fr,Various
46138,2014-06-29,A Rough Diamond: A Comic Drama in One Act,en,"Buckstone, John Baldwin, 1802-1879"
46139,2014-06-29,The Autobiography of a Clown,en,"Marcosson, Isaac Frederick, 1876-1961"
46140,2014-06-29,Myths of the Iroquois. (1883 N 02 / 1880-1881 (pages 47-116)),en,"Smith, Erminnie A. (Erminnie Adele), 1836-1886"
46141,2014-06-29,Reise in Südamerika. Erster Band.,de,"Bibra, Ernst, Freiherr von, 1806-1878"
46142,2014-06-29,La femme au dix-huitième siècle,fr,"Goncourt, Edmond de, 1822-1896; Goncourt, Jules de, 1830-1870"
46143,2014-06-29,"Experiments and Observations on the Following Subjects
1. On the preparation, calcination, and medicinal uses of Magnesia Alba. 2. On the solvent qualities of calcined Magnesia. 3. On the variety in the solvent powers of quick-lime, when used in different quantities. 4. On various absorbents, as promoting or retarding putrefaction. 5. On the comparative antiseptic powers of vegetable infusions prepared with lime, &c. 6. On the sweetening properties of fixed air.",en,"Henry, Thomas, 1734-1816"
46144,2014-06-30,"Six Cups of Coffee
Prepared for the Public Palate by the Best Authorities on Coffee Making",en,"Campbell, Helen, 1839-1918; Corson, Juliet, 1842-1897; Harland, Marion, 1830-1922; Lincoln, Mary J. (Mary Johnson), 1844-1921; Owen, Catherine, -1889; Parloa, Maria, 1843-1909; Poole, Hester M. (Hester Martha), 1833-1932"
46145,2014-06-30,The Book of Princes and Princesses,en,"Lang, Mrs.; Lang, Andrew, 1844-1912 [Editor]; Ford, H. J. (Henry Justice), 1860-1941 [Illustrator]"
46146,2014-06-30,The Riverpark Rebellion,en,"Greene, Homer, 1853-1940"
46147,2014-06-30,Pörssiylimys: Erään amerikalaisen miljoonamiehen elämäntarina,fi,"Sinclair, Upton, 1878-1968; Pispa, Hanna [Translator]"
46148,2014-06-30,"The Child in the Midst
A Comparative Study of Child Welfare in Christian and Non-Christian Lands",en,"Platt, Mary Schauffler, 1868-1954"
46149,2014-06-30,Mediæval Heresy & the Inquisition,en,"Turberville, Arthur Stanley, 1888-1945"
46150,2014-06-30,Famous Days in the Century of Invention,en,"Fickett, M. Grace (Mary Grace); Stone, Gertrude L. (Gertrude Lincoln)"
46151,2014-06-30,India Under British Rule from the Foundation of the East India Company,en,"Wheeler, James Talboys, 1824-1897"
46152,2014-06-30,The Last Ditch,en,"Comfort, Will Levington, 1878-1932"
46153,2014-06-30,The Notting Hill Mystery,en,"Felix, Charles, 1833-1903; Du Maurier, George, 1834-1896 [Illustrator]"
46154,2014-06-30,Reise in Südamerika. Zweiter Band.,de,"Bibra, Ernst, Freiherr von, 1806-1878"
46155,2014-07-01,The Fantastic Clan: The Cactus Family,en,"Bonker, Frances; Thornber, J. J. (John James), 1872-1962"
46156,2014-07-01,The Maid of Sker,en,"Blackmore, R. D. (Richard Doddridge), 1825-1900"
46157,2014-07-01,Die Tote und andere Novellen,de,"Mann, Heinrich, 1871-1950"
46158,2014-07-01,Tea and Tea Drinking,en,"Reade, Arthur"
46159,2014-07-01,Two in a Zoo,en,"Dunham, Curtis; Herford, Oliver, 1863-1935"
46160,2014-07-01,Malaeska: The Indian Wife of the White Hunter,en,"Stephens, Ann S. (Ann Sophia), 1810-1886"
46161,2014-07-01,By Forest Ways in New Zealand,en,"Roberts, F. A."
46162,2014-07-01,Ad armi corte: Commedia in un atto,it,"Bracco, Roberto, 1861-1943"
46163,2014-07-01,Maschere: Dramma in un atto,it,"Bracco, Roberto, 1861-1943"
46164,2014-07-01,Il piccolo santo: Dramma in cinque atti,it,"Bracco, Roberto, 1861-1943"
46165,2014-07-01,The Book of Daniel Unlocked,en,"Auchincloss, W. S. (William Stuart), 1842-1928; Sayce, A. H. (Archibald Henry), 1845-1933 [Author of introduction, etc.]"
46166,2014-07-01,History of the Zulu War,en,"Wilmot, Alexander, 1836-1924"
46167,2014-07-01,"British Royal Proclamations Relating to America, 1603-1783",en,"Great Britain. Sovereign; Brigham, Clarence S. (Clarence Saunders), 1877-1963 [Editor]"
46168,2014-07-01,"Experiments and Observations Tending to Illustrate the Nature and Properties of Electricity
In One Letter to Martin Folkes, Esq; President, and Two to the Royal Society",en,"Watson, William, Sir, 1715-1787"
46169,2014-07-01,Fishing with Floating Flies,en,"Camp, Samuel G. (Samuel Granger), 1877-"
46170,2014-07-02,Fathers of Men,en,"Hornung, E. W. (Ernest William), 1866-1921"
46171,2014-07-02,"Florida Caverns State Park
Marianna, Florida",en,"Vernon, Robert O. (Robert Orion), 1912-"
46172,2014-07-02,A Tale of the Tow-Path,en,"Greene, Homer, 1853-1940"
46173,2014-07-02,Tourmalin's Time Cheques,en,"Anstey, F., 1856-1934"
46174,2014-07-02,Der Findling. Zweiter Band.,de,"Verne, Jules, 1828-1905"
46175,2014-07-02,"The History of the Confederate War, Its Causes and Its Conduct, Volume 2 (of 2)
A Narrative and Critical History",en,"Eggleston, George Cary, 1839-1911"
46176,2014-07-02,The Knights of the Round Table: Stories of King Arthur and the Holy Grail,en,"Frost, William Henry, 1863-1902; Burleigh, Sydney Richmond, 1853-1931 [Illustrator]"
46177,2014-07-02,Punainen huone: Kuvituksia taiteilija- ja kirjailijaelämästä,fi,"Strindberg, August, 1849-1912"
46178,2014-07-02,Flower of the Gorse,en,"Tracy, Louis, 1863-1928"
46179,2014-07-02,"Two Years and Four Months in a Lunatic Asylum
from August 20th, 1863 to December 20th, 1865",en,"Chase, Hiram"
46180,2014-07-03,Der Findling. Erster Band.,de,"Verne, Jules, 1828-1905"
46181,2014-07-03,The Forty-third regiment United States Colored Troops,en,"Mickley, Jeremiah Marion"
46182,2014-07-03,Sonata de otoño; Sonata de invierno: memorias del Marqués de Bradomín,es,"Valle-Inclán, Ramón del, 1866-1936"
46183,2014-07-03,"La maison d'un artiste, Tome 1",fr,"Goncourt, Edmond de, 1822-1896"
46184,2014-07-03,Frau Jenny Treibel: Roman aus der Berliner Gesellschaft,de,"Fontane, Theodor, 1819-1898"
